Time: 0.010231999 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransport>::shared_ptr<apache::thrift::transport::TBufferedTransport>;
Time: 0.010218000 seconds | std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >::operator[];
Time: 0.010184999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > > > >::operator[];
Time: 0.009848999 seconds | std::__1::shared_ptr<apache::thrift::concurrency::PriorityThreadManager>;
Time: 0.009796000 seconds | folly::IsTriviallyCopyable<std::__1::vector<apache::thrift::frozen::detail::Block, std::__1::allocator<apache::thrift::frozen::detail::Block> > >;
Time: 0.009748999 seconds | std::__1::map<float, cpp2::Struct1, std::__1::less<float>, std::__1::allocator<std::__1::pair<const float, cpp2::Struct1> > >::operator[];
Time: 0.009665000 seconds | std::__1::map<int, std::__1::basic_string<char>, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, std::__1::basic_string<char> > > >::operator[];
Time: 0.009538000 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransport>::shared_ptr<apache::thrift::transport::TTransport, (lambda at /Users/eelizondo/Documents/fbthrift/thrift/lib/cpp/protocol/TProtocol.h:726:21)>;
Time: 0.009428999 seconds | std::__1::vector<apache::thrift::frozen::schema::MemoryField, std::__1::allocator<apache::thrift::frozen::schema::MemoryField> >::push_back;
Time: 0.009203000 seconds | std::__1::vector<std::__1::pair<int, std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<int, std::__1::basic_string<char> > > >::reserve;
Time: 0.009182000 seconds | cpp2::Struct2::read<apache::thrift::CompactProtocolReader>;
Time: 0.008839001 seconds | cpp2::Struct2::read<apache::thrift::BinaryProtocolReader>;
Time: 0.008709999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >::swap;
Time: 0.008493999 seconds | std::__1::vector<std::__1::pair<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > >, std::__1::allocator<std::__1::pair<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > > > >::reserve;
